"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"765","RT @MingYLong: #Leadership must intervene to improve the outcome for #diversity #inclusion Sally Bruce, CEO @AMPBank #asianausleadership",FALSE,0,NA,2019-09-13 02:38:03,FALSE,NA,"1172338621979877381",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","andrewphong_",4,TRUE,FALSE,NA,NA
"766","RT @asapiz: <U+270B><U+0001F3FC>Raising my hand!!!  #WomenofCisco #inclusion #diversity https://t.co/hAdwPdLjkC",FALSE,0,NA,2019-09-13 02:35:54,FALSE,NA,"1172338083380912128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","micturp",2,TRUE,FALSE,NA,NA
"767","RT @TammyRenyard: Wow!  Huge energy this morning in @sd61schools as we work and learn together. #bettertogether #inclusion https://t.co/xM7…",FALSE,0,NA,2019-09-13 02:35:40,FALSE,NA,"1172338025281413121",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","4rcommunity",3,TRUE,FALSE,NA,NA
"768","RT @JESSOasisDept: Our new online booklet outlines the ways in which we ‘engage, enable &amp; enrich’ student’s learning. Written for parents &amp;…",FALSE,0,NA,2019-09-13 02:35:21,FALSE,NA,"1172337945346330624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JESSDubai",9,TRUE,FALSE,NA,NA
"769","Parent Coffee, Sharing the Journey-3, and Special Ed Basics are coming up next week! Visit https://t.co/3d3ABJ9pnv… https://t.co/ficZt3KK65",FALSE,0,NA,2019-09-13 02:35:04,TRUE,NA,"1172337873221115905",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","phpeducation",2,FALSE,FALSE,NA,NA
"770","RT @Wipro: Transforming cultures, mindsets and ways of working doesn't happen by chance, or in a vacuum. Inclusion champion Rachel Higham f…",FALSE,0,NA,2019-09-13 02:33:39,FALSE,NA,"1172337515837046784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nagasub2019",813,TRUE,FALSE,NA,NA
"771","RT @Wipro: Lack of diversity in a team leads to homogeneous and rigid thinking. Phil Dunmore, Managing Partner and Head of our Global Consu…",FALSE,0,NA,2019-09-13 02:32:47,FALSE,NA,"1172337297120886786",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GampaKedarnadh",1349,TRUE,FALSE,NA,NA
"772",".@tjlavin I would REALLY appreciate if you could stop using phrases like “ok guys,” “nice work guys,” etc when you’… https://t.co/wggovZCPAa",FALSE,0,NA,2019-09-13 02:32:17,TRUE,NA,"1172337171606323201",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ashleyyoung__",0,FALSE,FALSE,NA,NA
"773","My #intention for today is fly like a painted lady.

#WalkForPeace #StepIntoYes #Community #Peace #Leadership… https://t.co/RF1sDLBmcx",FALSE,0,NA,2019-09-13 02:29:35,TRUE,NA,"1172336492108079106",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ARyonMelcher",0,FALSE,FALSE,NA,NA
"774","RT @deaconessfound: We’ve spent the last two days, along with a some  of our partners, exploring how to continue turning good intentions in…",FALSE,0,NA,2019-09-13 02:29:26,FALSE,NA,"1172336456250998784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dcrthomas",3,TRUE,FALSE,NA,NA
"775","RT @Snehalstocks: Matt @aristocratslots sharing his story @NCWIT_Vegas @NCWIT's #SitwithMe event @thespacelv. @SitWithMe 

#Diversity #Incl…",FALSE,0,NA,2019-09-13 02:26:49,FALSE,NA,"1172335796612812802",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itchcompsci",2,TRUE,FALSE,NA,NA
"776","Matt @aristocratslots sharing his story @NCWIT_Vegas @NCWIT's #SitwithMe event @thespacelv. @SitWithMe 

#Diversity… https://t.co/T3xjGbpwNw",FALSE,2,NA,2019-09-13 02:25:33,TRUE,NA,"1172335478646792192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Snehalstocks",2,FALSE,FALSE,NA,NA
"777","RT @OUHospitals: Dr Hannah Barham-Brown @HannahPopsy tells about her experience of being a disabled doctor at ""Embracing #equality #diversi…",FALSE,0,NA,2019-09-13 02:25:20,FALSE,NA,"1172335421352579074",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","suzietaylor9162",4,TRUE,FALSE,NA,NA
"778","RT @MingYLong: #Leadership must intervene to improve the outcome for #diversity #inclusion Sally Bruce, CEO @AMPBank #asianausleadership",FALSE,0,NA,2019-09-13 02:23:59,FALSE,NA,"1172335082108907520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jennyleong",4,TRUE,FALSE,NA,NA
"779","RT @diversein: Join us to celebrate Diverse in's first anniversary ! In one year, 
Published 100+ articles
Educated 235 people 
Provided ac…",FALSE,0,NA,2019-09-13 02:23:12,FALSE,NA,"1172334888260816896",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","furkan_fan_page",12,TRUE,FALSE,NA,NA
"780","RT @Wipro: Lack of diversity in a team leads to homogeneous and rigid thinking. Phil Dunmore, Managing Partner and Head of our Global Consu…",FALSE,0,NA,2019-09-13 02:23:11,FALSE,NA,"1172334883739336707",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnilGound2",1349,TRUE,FALSE,NA,NA
"781","Summary from the panel discussion last week hosted by <U+2066>@roberthalf_anz<U+2069> #diversity #inclusion #culture 
<U+2066>… https://t.co/9OUmaC70d0",FALSE,0,NA,2019-09-13 02:22:17,TRUE,NA,"1172334654117953536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Justine__Cooper",0,FALSE,FALSE,NA,NA
"782","RT @kwiens62: A4: When kids are dysregulated three things I try to remember are: “Kids do well if they can” (Ross Greene), “You are the str…",FALSE,0,NA,2019-09-13 02:22:00,FALSE,NA,"1172334583280390150",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tresa_L_M",34,TRUE,FALSE,NA,NA
"783","RT @kwiens62: A4: When kids are dysregulated three things I try to remember are: “Kids do well if they can” (Ross Greene), “You are the str…",FALSE,0,NA,2019-09-13 02:17:45,FALSE,NA,"1172333515867688960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bmitche35155130",34,TRUE,FALSE,NA,NA
"784","1-minute video highlights from last week’s panel discussion brought by <U+2066>@roberthalf_anz<U+2069> - article summary availabl… https://t.co/JyI5TKfmyV",FALSE,0,NA,2019-09-13 02:17:41,TRUE,NA,"1172333498763366407",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Justine__Cooper",0,FALSE,FALSE,NA,NA
