"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"54","Was CIA ‘too white’ to spot 9/11 clues? https://t.co/VRgiYdx6w8 #Diversity",FALSE,0,NA,2019-09-13 12:00:59,FALSE,NA,"1172480291690205185",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","cjiqbal",0,FALSE,FALSE,NA,NA
"55","@LeedsTrinity PGCE students visited Mosque, Mandir and Gurdwara with Nadeem @seemabuttoo and Narinder @iecbradford… https://t.co/jG4C5GUIIu",FALSE,0,"LeedsTrinity",2019-09-13 12:00:57,TRUE,NA,"1172480280264921088","25295359","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","iecbradford",0,FALSE,FALSE,NA,NA
"56","“It’s difficult not to conclude that in contrast to the improvement in attitudes to gender diversity, when it comes… https://t.co/3yo9D3pcuM",FALSE,0,NA,2019-09-13 12:00:06,TRUE,NA,"1172480067768913920",NA,"<a href=""https://www.oktopost.com"" rel=""nofollow"">Oktopost</a>","ExecutiveGV",0,FALSE,FALSE,NA,NA
"57","No matter who you are, no matter where you came from, no matter who you love, no matter the color of your skin, no… https://t.co/dLvQVftl2u",FALSE,2,NA,2019-09-13 12:00:01,TRUE,NA,"1172480046000291840",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter Ads Composer</a>","citrix",1,FALSE,FALSE,NA,NA
"58","UPDATE! Join DivComm at the Queens International Night Market, on 9/21, for a family friendly fun night, featuring… https://t.co/bkdKnQOnyd",FALSE,0,NA,2019-09-13 11:59:39,TRUE,NA,"1172479955160227841",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","divcommittee",0,FALSE,FALSE,NA,NA
"59","With all the evidence around the benefits of having a diverse board, this is disappointing news
#diversity… https://t.co/7SZGXXPvJI",FALSE,0,NA,2019-09-13 11:59:23,TRUE,NA,"1172479888646782976",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","StewartHastie",0,FALSE,FALSE,NA,NA
"60","Department for Transport:
£730,000 to boost diversity, wellbeing and skills in maritime
https://t.co/Puw3W66bgb… https://t.co/j8uGjf2Tkw",FALSE,0,NA,2019-09-13 11:57:13,TRUE,NA,"1172479341751668737",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","wiredgov",0,FALSE,FALSE,NA,NA
"61","Delighted to finish the working week by appearing on the @en4ei website as an Associate Consultant, alongside some… https://t.co/nThf5DwMiS",FALSE,0,NA,2019-09-13 11:56:00,TRUE,NA,"1172479037123497985",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RarityMonk",0,FALSE,FALSE,NA,NA
"62",".@Visa Europe CEO: Putting commercial muscle behind diversity and inclusion is 'the next frontier'… https://t.co/vTUDvsOq72",FALSE,0,NA,2019-09-13 11:54:38,TRUE,NA,"1172478691928104960",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","divercitypod",0,FALSE,FALSE,NA,NA
"63","Great to join today’s #socialmobilty roundtable with @AnnelieseDodds MP and apprentice Mark Kakembo from our… https://t.co/vdrokoGknB",FALSE,2,NA,2019-09-13 11:54:36,TRUE,NA,"1172478682704896000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jkbaskerville",0,FALSE,FALSE,NA,NA
